OBJECTID,Name,Address,Average_Score,Date,Inspection_Score,FacilityID,ZipCode,Latitude,Longitude,Month,Day,Year,,,Date2
93,"360 Pizza, LLC","2107 KINNEY AVE
AUSTIN, TX 78704
",86.8,"Thursday, February 18, 2016",94,11062654,78704,30.2485311,-97.77040211,2,18,2016,,,2/18/2016
94,360 Uno,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
",89.5,"Thursday, August 24, 2017",90,11358302,78746,30.33635311,-97.8041841,8,24,2017,,,8/24/2017
95,360 Uno,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
",89.5,"Thursday, February 16, 2017",71,11358302,78746,30.33635311,-97.8041841,2,16,2017,,,2/16/2017
96,360 Uno,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
",89.5,"Tuesday, March 6, 2018",91,11358302,78746,30.33635311,-97.8041841,3,6,2018,,,3/6/2018
97,360 Uno,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
",89.5,"Wednesday, September 19, 2018",96,11358302,78746,30.33635311,-97.8041841,9,19,2018,,,9/19/2018
98,360 Uno,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
",89.5,"Wednesday, February 10, 2016",94,11358302,78746,30.33635311,-97.8041841,2,10,2016,,,2/10/2016
99,360 Uno,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
",89.5,"Tuesday, August 2, 2016",95,11358302,78746,30.33635311,-97.8041841,8,2,2016,,,8/2/2016
100,38 Pecans,"10208 N FM 620 RD
AUSTIN, TX 78726
",100,"Monday, October 23, 2017",100,11615251,78726,30.4423477,-97.83454283,10,23,2017,,,10/23/2017
101,3M Austin Center,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
",97.6,"Friday, January 8, 2016",97,2800072,78726,30.39608768,-97.84447113,1,8,2016,,,1/8/2016
102,3M Austin Center,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
",97.6,"Tuesday, July 12, 2016",95,2800072,78726,30.39608768,-97.84447113,7,12,2016,,,7/12/2016
103,3M Austin Center,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
",97.6,"Thursday, March 16, 2017",100,2800072,78726,30.39608768,-97.84447113,3,16,2017,,,3/16/2017
104,3M Austin Center,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
",97.6,"Wednesday, October 4, 2017",96,2800072,78726,30.39608768,-97.84447113,10,4,2017,,,10/4/2017
105,3M Austin Center,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
",97.6,"Wednesday, July 25, 2018",100,2800072,78726,30.39608768,-97.84447113,7,25,2018,,,7/25/2018
106,3ten,"310 W 2ND ST
AUSTIN, TX 78701
",98.3,"Tuesday, September 26, 2017",96,11495217,78701,30.26544257,-97.74709001,9,26,2017,,,9/26/2017
107,3ten,"310 W 2ND ST
AUSTIN, TX 78701
",98.3,"Wednesday, December 28, 2016",99,11495217,78701,30.26544257,-97.74709001,12,28,2016,,,12/28/2016
108,3ten,"310 W 2ND ST
AUSTIN, TX 78701
",98.3,"Thursday, July 5, 2018",100,11495217,78701,30.26544257,-97.74709001,7,5,2018,,,7/5/2018
109,411 First Floor,"404 E 6TH ST
AUSTIN, TX 78701
",89.7,"Tuesday, October 2, 2018",90,10586003,78701,30.26732672,-97.73893529,10,2,2018,,,10/2/2018
110,411 First Floor,"404 E 6TH ST
AUSTIN, TX 78701
",89.7,"Tuesday, January 31, 2017",89,10586003,78701,30.26732672,-97.73893529,1,31,2017,,,1/31/2017
111,411 First Floor,"404 E 6TH ST
AUSTIN, TX 78701
",89.7,"Wednesday, March 7, 2018",93,10586003,78701,30.26732672,-97.73893529,3,7,2018,,,3/7/2018
112,411 First Floor,"404 E 6TH ST
AUSTIN, TX 78701
",89.7,"Wednesday, March 9, 2016",96,10586003,78701,30.26732672,-97.73893529,3,9,2016,,,3/9/2016
113,411 First Floor,"404 E 6TH ST
AUSTIN, TX 78701
",89.7,"Wednesday, August 16, 2017",96,10586003,78701,30.26732672,-97.73893529,8,16,2017,,,8/16/2017
114,411 First Floor,"404 E 6TH ST
AUSTIN, TX 78701
",89.7,"Wednesday, August 17, 2016",74,10586003,78701,30.26732672,-97.73893529,8,17,2016,,,8/17/2016
115,413 Bar,"413 E 6TH ST
AUSTIN, TX 78701
",86,"Thursday, September 15, 2016",87,10839037,78701,30.26669795,-97.7388516,9,15,2016,,,9/15/2016
116,413 Bar,"413 E 6TH ST
AUSTIN, TX 78701
",86,"Saturday, March 25, 2017",78,10839037,78701,30.26669795,-97.7388516,3,25,2017,,,3/25/2017
117,413 Bar,"413 E 6TH ST
AUSTIN, TX 78701
",86,"Monday, March 14, 2016",95,10839037,78701,30.26669795,-97.7388516,3,14,2016,,,3/14/2016
118,413 Bar,"413 E 6TH ST
AUSTIN, TX 78701
",86,"Thursday, November 2, 2017",83,10839037,78701,30.26669795,-97.7388516,11,2,2017,,,11/2/2017
119,413 Bar,"413 E 6TH ST
AUSTIN, TX 78701
",86,"Tuesday, June 5, 2018",87,10839037,78701,30.26669795,-97.7388516,6,5,2018,,,6/5/2018
120,4th Tap Brewing Cooperative,"10615 METRIC BLVD
AUSTIN, TX 78758
",97.3,"Friday, April 8, 2016",92,11319005,78758,30.38524794,-97.71186807,4,8,2016,,,4/8/2016
121,4th Tap Brewing Cooperative,"10615 METRIC BLVD
AUSTIN, TX 78758
",97.3,"Tuesday, March 21, 2017",94,11319005,78758,30.38524794,-97.71186807,3,21,2017,,,3/21/2017
122,4th Tap Brewing Cooperative,"10615 METRIC BLVD
AUSTIN, TX 78758
",97.3,"Wednesday, February 7, 2018",100,11319005,78758,30.38524794,-97.71186807,2,7,2018,,,2/7/2018
123,4th Tap Brewing Cooperative,"10615 METRIC BLVD
AUSTIN, TX 78758
",97.3,"Tuesday, September 18, 2018",100,11319005,78758,30.38524794,-97.71186807,9,18,2018,,,9/18/2018
124,4th Tap Brewing Cooperative,"10615 METRIC BLVD
AUSTIN, TX 78758
",97.3,"Friday, September 16, 2016",98,11319005,78758,30.38524794,-97.71186807,9,16,2016,,,9/16/2016
125,4th Tap Brewing Cooperative,"10615 METRIC BLVD
AUSTIN, TX 78758
",97.3,"Thursday, August 17, 2017",100,11319005,78758,30.38524794,-97.71186807,8,17,2017,,,8/17/2017
126,"500 W. 6th LLC - Sophias""""","500 W 6TH ST
AUSTIN, TX 78701
",90.3,"Friday, December 15, 2017",89,11505370,78701,30.26956032,-97.74752311,12,15,2017,,,12/15/2017
127,"500 W. 6th LLC - Sophias""""","500 W 6TH ST
AUSTIN, TX 78701
",90.3,"Wednesday, June 7, 2017",91,11505370,78701,30.26956032,-97.74752311,6,7,2017,,,6/7/2017
128,"500 W. 6th LLC - Sophias""""","500 W 6TH ST
AUSTIN, TX 78701
",90.3,"Friday, August 24, 2018",91,11505370,78701,30.26956032,-97.74752311,8,24,2018,,,8/24/2018
129,512 Events,"8309 RESEARCH BLVD
AUSTIN, TX 78758
",97.5,"Tuesday, May 1, 2018",97,11638921,78758,30.35628658,-97.71496876,5,1,2018,,,5/1/2018
130,512 Events,"8309 RESEARCH BLVD
AUSTIN, TX 78758
",97.5,"Wednesday, October 4, 2017",98,11638921,78758,30.35628658,-97.71496876,10,4,2017,,,10/4/2017
131,"512 on 6th, The","408 E 6TH ST
AUSTIN, TX 78701
",89.2,"Thursday, September 15, 2016",91,10493313,78701,30.2672854,-97.7387962,9,15,2016,,,9/15/2016
132,"512 on 6th, The","408 E 6TH ST
AUSTIN, TX 78701
",89.2,"Saturday, March 25, 2017",90,10493313,78701,30.2672854,-97.7387962,3,25,2017,,,3/25/2017
133,"512 on 6th, The","408 E 6TH ST
AUSTIN, TX 78701
",89.2,"Monday, October 2, 2017",85,10493313,78701,30.2672854,-97.7387962,10,2,2017,,,10/2/2017
134,"512 on 6th, The","408 E 6TH ST
AUSTIN, TX 78701
",89.2,"Thursday, May 10, 2018",84,10493313,78701,30.2672854,-97.7387962,5,10,2018,,,5/10/2018
135,"512 on 6th, The","408 E 6TH ST
AUSTIN, TX 78701
",89.2,"Thursday, January 7, 2016",96,10493313,78701,30.2672854,-97.7387962,1,7,2016,,,1/7/2016
136,68 Degrees,"2401 LAKE BLVD
AUSTIN, TX 78703
",86,"Tuesday, December 6, 2016",88,11309651,78703,30.27787168,-97.77291171,12,6,2016,,,12/6/2016
137,68 Degrees,"2401 LAKE AUSTIN BLVD
AUSTIN, TX 78703
",86,"Tuesday, August 14, 2018",86,11309651,78703,30.27787168,-97.77291171,8,14,2018,,,8/14/2018
138,68 Degrees,"2401 LAKE AUSTIN BLVD
AUSTIN, TX 78703
",86,"Wednesday, December 6, 2017",84,11309651,78703,30.27787168,-97.77291171,12,6,2017,,,12/6/2017
139,68 Degrees,"2401 LAKE AUSTIN BLVD
AUSTIN, TX 78703
",86,"Tuesday, June 6, 2017",86,11309651,78703,30.27787168,-97.77291171,6,6,2017,,,6/6/2017
140,6M Grocery,"805 W FM 1626 RD
AUSTIN, TX 78652
",90.2,"Monday, May 2, 2016",88,2803436,78652,30.1403792,-97.82815386,5,2,2016,,,5/2/2016
141,6M Grocery,"805 W FM 1626 RD
AUSTIN, TX 78652
",90.2,"Monday, October 24, 2016",85,2803436,78652,30.1403792,-97.82815386,10,24,2016,,,10/24/2016
142,6M Grocery,"805 W FM 1626 RD
AUSTIN, TX 78652
",90.2,"Monday, November 20, 2017",92,2803436,78652,30.1403792,-97.82815386,11,20,2017,,,11/20/2017
143,6M Grocery,"805 W FM 1626 RD
AUSTIN, TX 78652
",90.2,"Monday, April 30, 2018",95,2803436,78652,30.1403792,-97.82815386,4,30,2018,,,4/30/2018
144,6M Grocery,"805 W FM 1626 RD
AUSTIN, TX 78652
",90.2,"Thursday, May 25, 2017",86,2803436,78652,30.1403792,-97.82815386,5,25,2017,,,5/25/2017
145,6M Grocery,"805 W FM 1626 RD
AUSTIN, TX 78652
",90.2,"Tuesday, October 16, 2018",95,2803436,78652,30.1403792,-97.82815386,10,16,2018,,,10/16/2018
146,7 - Eleven # 23807B,"6306 MANCHACA RD
AUSTIN, TX 78745
",89,"Tuesday, July 31, 2018",88,11639640,78745,30.20934169,-97.80495315,7,31,2018,,,7/31/2018
147,7 - Eleven # 23807B,"6306 MANCHACA RD
AUSTIN, TX 78745
",89,"Friday, October 6, 2017",86,11639640,78745,30.20934169,-97.80495315,10,6,2017,,,10/6/2017
